clients,requests,success_percent,timeout_percent,error_percent,avg_rt,throughput
5,2.66156,100,0,0,694.8,2.66156
10,5.29325,100,0,0,767.7,5.29325
15,7.47906,98.6667,1.33333,0,908.743,7.37934
20,9.41886,97,3,0,918.299,9.13629
25,10.6755,100,0,0,1141.78,10.6755
30,11.9351,99.3333,0.666667,0,1293.7,11.8555
35,12.2079,97.7143,2.28571,0,1609.02,11.9288
40,13.0183,100,0,0,1851.08,13.0183
45,13.0488,98.2222,1.77778,0,2240.54,12.8168
50,13.1759,99.6,0.4,0,2564.2,13.1232
