cpu,threads,queue,service_time
10,7,0,0,
5
12.5,7,0,0,
11.1,7,0,471,
10,7,0,293,
10,7,0,295,
12.5,7,0,298,
10,7,0,298,
0,7,0,311,
11.1,7,0,301,
0,7,0,269,
0,7,0,292,
0,7,0,272,
12.5,7,0,272,
12.5,7,0,276,
22.2,7,0,274,
10,7,0,297,
20,7,0,298,
0,7,0,298,
0,7,0,269,
20,7,0,301,
11.1,7,0,270,
11.1,7,0,270,
10,7,0,300,
14.3,7,0,275,
12.5,7,0,275,
11.1,7,0,297,
20,7,0,270,
11.1,7,0,270,
12.5,7,0,272,
0,7,0,296,
10,7,0,296,
0,7,0,307,
10,7,0,302,
0,7,0,302,
0,7,0,302,
0,7,0,302,
12.5,7,0,302,
12.5,7,0,302,
10
0,7,0,302,
0,7,0,276,
12.5,7,0,276,
10,7,0,294,
11.1,7,0,297,
11.1,7,0,269,
11.1,7,0,274,
0,7,0,306,
0,7,0,306,
11.1,7,0,295,
0,7,0,274,
11.1,7,0,296,
0,7,0,289,
10,7,0,289,
15.4,7,0,293,
0,7,0,297,
10,7,0,292,
10,7,0,295,
22.2,7,0,295,
0,7,0,298,
10,7,0,297,
11.1,7,0,284,
0,7,0,276,
20,7,0,302,
11.1,7,0,302,
0,7,0,307,
11.1,7,0,273,
11.1,7,0,302,
12.5,7,0,272,
11.1,7,0,272,
11.1,7,0,306,
20,7,0,274,
12.5,7,0,275,
11.1,7,0,305,
11.1,7,0,279,
14.3,7,0,279,
11.1,7,0,276,
0,7,0,301,
20,7,0,295,
12.5,7,0,275,
11.1,7,0,275,
0,7,0,278,
11.1,7,0,299,
16.7,7,0,302,
20,7,0,308,
11.1,7,0,308,
22.2,7,0,299,
10,7,0,300,
11.1,7,0,270,
0,7,0,278,
11.1,7,0,299,
0,7,0,299,
22.2,7,0,274,
22.2,7,0,274,
18.2,7,0,301,
11.1,7,0,271,
11.1,7,0,271,
11.1,7,0,299,
10,7,0,304,
12.5,7,0,304,
0,7,0,304,
0,7,0,304,
0,7,0,304,
0,7,0,304,
15
0,7,0,304,
10,7,0,302,
22.2,7,0,269,
20,7,0,305,
10,7,0,305,
0,7,0,308,
10,7,0,310,
14.3,7,0,275,
11.1,7,0,300,
12.5,7,0,300,
11.1,7,0,273,
11.1,7,0,299,
11.1,7,0,298,
11.1,7,0,307,
20,7,0,307,
10,7,0,303,
11.1,7,0,279,
12.5,7,0,277,
9.1,7,0,302,
11.1,7,0,302,
0,7,0,305,
10,7,0,301,
12.5,7,0,275,
10,7,0,298,
11.1,7,0,277,
11.1,7,0,277,
11.1,7,0,280,
11.1,7,0,305,
12.5,7,0,280,
12.5,7,0,277,
0,7,0,276,
20,7,0,276,
10,7,0,310,
12.5,7,0,272,
18.2,7,0,301,
0,7,0,275,
11.1,7,0,275,
11.1,7,0,296,
11.1,7,0,309,
0,7,0,274,
11.1,7,0,309,
0,7,0,309,
11.1,7,0,301,
12.5,7,0,273,
11.1,7,0,280,
12.5,7,0,281,
11.1,7,0,283,
12.5,7,0,283,
9.1,7,0,309,
12.5,7,0,274,
11.1,7,0,281,
22.2,7,0,300,
0,7,0,300,
0,7,0,279,
12.5,7,0,274,
11.1,7,0,298,
10,7,0,304,
11.1,7,0,304,
11.1,7,0,304,
11.1,7,0,302,
10,7,0,305,
10,7,0,311,
12.5,7,0,311,
0,7,0,276,
11.1,7,0,280,
11.1,7,0,275,
10,7,0,281,
10,7,0,302,
11.1,7,0,302,
11.1,7,0,280,
20,7,0,307,
18.2,7,0,310,
11.1,7,0,310,
10,7,0,301,
0,7,0,276,
11.1,7,0,308,
0,7,0,271,
22.2,7,0,276,
10,7,0,276,
0,7,0,304,
0,7,0,310,
0,7,0,272,
11.1,7,0,272,
0,7,0,272,
12.5,7,0,271,
0,7,0,271,
0,7,0,271,
0,7,0,271,
0,7,0,271,
12.5,7,0,271,
20
0,7,0,271,
12.5,7,0,303,
10,7,0,274,
11.1,7,0,274,
0,7,0,301,
0,7,0,279,
12.5,7,0,308,
11.1,7,0,269,
12.5,7,0,280,
0,7,0,280,
0,7,0,277,
10,7,0,299,
0,7,0,302,
11.1,7,0,295,
16.7,7,0,295,
11.1,7,0,305,
11.1,7,0,271,
0,7,0,276,
14.3,7,0,272,
11.1,7,0,311,
14.3,7,0,311,
0,7,0,274,
0,7,0,273,
10,7,0,306,
12.5,7,0,274,
0,7,0,274,
11.1,7,0,285,
0,7,0,276,
20,7,0,312,
0,7,0,274,
0,7,0,275,
10,7,0,275,
11.1,7,0,277,
20,7,0,303,
0,7,0,298,
0,7,0,297,
12.5,7,0,297,
10,7,0,276,
12.5,7,0,273,
10,7,0,302,
11.1,7,0,304,
12.5,7,0,304,
11.1,7,0,300,
11.1,7,0,275,
11.1,7,0,308,
12.5,7,0,271,
12.5,7,0,271,
10,7,0,307,
11.1,7,0,275,
12.5,7,0,272,
11.1,7,0,299,
22.2,7,0,282,
12.5,7,0,282,
11.1,7,0,273,
11.1,7,0,282,
0,7,0,315,
11.1,7,0,274,
18.2,7,0,273,
0,7,0,273,
10,7,0,304,
11.1,7,0,274,
11.1,7,0,276,
18.2,7,0,277,
11.1,7,0,277,
9.1,7,0,306,
11.1,7,0,272,
11.1,7,0,277,
20,7,0,279,
11.1,7,0,298,
0,7,0,298,
18.2,7,0,279,
11.1,7,0,275,
0,7,0,280,
0,7,0,313,
0,7,0,313,
11.1,7,0,313,
11.1,7,0,275,
22.2,7,0,300,
18.2,7,0,310,
20,7,0,310,
12.5,7,0,308,
10,7,0,303,
10,7,0,308,
12.5,7,0,308,
10,7,0,310,
11.1,7,0,305,
10,7,0,306,
0,7,0,275,
0,7,0,279,
11.1,7,0,279,
11.1,7,0,305,
10,7,0,309,
0,7,0,309,
0,7,0,309,
0,7,0,309,
0,7,0,309,
12.5,7,0,309,
0,7,0,309,
0,7,0,309,
12.5,7,0,309,
11.1,7,0,309,
0,7,0,309,
0,7,0,309,
12.5,7,0,309,
12.5,7,0,309,
0,7,0,309,
11.1,7,0,309,
10,7,0,3515,
10,7,0,305,
11.1,7,0,275,
0,7,0,277,
0,7,0,277,
0,7,0,277,
0,7,0,277,
0,7,0,275,
0,7,0,274,
12.5,7,0,274,
10,7,0,281,
10,7,0,302,
11.1,7,0,302,
12.5,7,0,277,
0,7,0,278,
12.5,7,0,278,
0,7,0,278,
0,7,0,299,
0,7,0,299,
11.1,7,0,299,
0,7,0,299,
0,7,0,299,
0,7,0,299,
25
0,7,0,299,
12.5,7,0,299,
11.1,7,0,326,
11.1,7,0,302,
20,7,0,273,
0,7,0,277,
11.1,7,0,277,
0,7,0,298,
11.1,7,0,298,
11.1,7,0,312,
11.1,7,0,276,
10,7,0,276,
0,7,0,305,
10,7,0,277,
11.1,7,0,306,
10,7,0,305,
12.5,7,0,305,
0,7,0,279,
0,7,0,270,
0,7,0,280,
11.1,7,0,301,
12.5,7,0,280,
12.5,7,0,280,
11.1,7,0,277,
12.5,7,0,301,
12.5,7,0,276,
22.2,7,0,280,
11.1,7,0,280,
11.1,7,0,298,
11.1,7,0,299,
20,7,0,298,
12.5,7,0,277,
11.1,7,0,277,
12.5,7,0,307,
11.1,7,0,273,
9.1,7,0,304,
9.1,7,0,306,
0,7,0,306,
10,7,0,315,
10,7,0,309,
0,7,0,295,
10,7,0,304,
22.2,7,0,304,
10,7,0,278,
11.1,7,0,304,
0,7,0,302,
11.1,7,0,306,
18.2,7,0,306,
11.1,7,0,278,
11.1,7,0,302,
11.1,7,0,270,
0,7,0,305,
10,7,0,305,
11.1,7,0,307,
22.2,7,0,273,
20,7,0,297,
10,7,0,311,
10,7,0,311,
0,7,0,310,
12.5,7,0,274,
0,7,0,302,
10,7,0,311,
11.1,7,0,311,
0,7,0,301,
10,7,0,316,
11.1,7,0,298,
12.5,7,0,279,
0,7,0,279,
10,7,0,310,
12.5,7,0,274,
0,7,0,272,
0,7,0,276,
12.5,7,0,276,
0,7,0,281,
11.1,7,0,298,
0,7,0,304,
0,7,0,275,
11.1,7,0,275,
10,7,0,305,
12.5,7,0,277,
11.1,7,0,275,
11.1,7,0,279,
12.5,7,0,280,
0,7,0,280,
11.1,7,0,304,
11.1,7,0,278,
20,7,0,307,
0,7,0,293,
12.5,7,0,293,
10,7,0,276,
0,7,0,280,
0,7,0,276,
0,7,0,278,
18.2,7,0,301,
