cpu,threads,queue,service_time
20,62,0,964,
5
40,62,0,467,
10,62,0,467,
11.1,62,0,467,
10,62,0,467,
10,62,0,467,
9.1,62,0,467,
10,62,0,467,
53.3,62,0,486,
0,62,0,486,
0,62,0,486,
35.3,62,0,486,
7.7,62,0,486,
0,62,0,486,
0,62,0,486,
50,62,0,486,
50,62,0,470,
0,62,0,470,
0,62,0,470,
0,62,0,470,
0,62,0,470,
0,62,0,470,
0,62,0,470,
56.2,62,0,465,
9.1,62,0,465,
0,62,0,465,
11.1,62,0,465,
0,62,0,465,
11.1,62,0,465,
0,62,0,465,
53.8,62,0,461,
10,62,0,461,
0,62,0,461,
0,62,0,461,
0,62,0,461,
0,62,0,461,
0,62,0,461,
10
87,62,0,653,
75,62,0,814,
0,62,0,814,
0,62,0,814,
11.1,62,0,814,
11.1,62,0,814,
66.7,62,0,814,
87,62,0,794,
20,62,0,794,
11.1,62,0,794,
0,62,0,794,
11.1,62,0,794,
0,62,0,794,
80,62,0,818,
16.7,62,0,808,
0,62,0,808,
10,62,0,808,
0,62,0,808,
11.1,62,0,808,
95,62,0,757,
50,62,0,777,
9.1,62,0,777,
0,62,0,777,
0,62,0,777,
0,62,0,777,
87.5,62,0,709,
81.8,62,0,781,
93.3,62,0,781,
0,62,0,781,
10,62,0,781,
0,62,0,781,
15
84.2,62,0,781,
86.2,62,0,1019,
25,62,0,1019,
20,62,0,358,
0,62,0,358,
0,62,0,358,
90.7,62,0,999,
30.8,62,0,999,
30.8,62,0,380,
9.1,62,0,380,
11.1,62,0,380,
0,62,0,380,
10,62,0,380,
70,62,0,456,
64.3,62,0,715,
0,62,0,715,
23.1,62,0,405,
10,62,0,405,
8.3,62,0,405,
85.2,62,0,765,
53.6,62,0,811,
33.3,62,0,417,
0,62,0,417,
0,62,0,417,
75,62,0,417,
79.2,62,0,913,
14.3,62,0,370,
0,62,0,370,
0,62,0,370,
11.1,62,0,370,
0,62,0,370,
0,62,0,370,
0,62,0,370,
20
93.1,62,0,370,
87.5,62,0,1066,
86,62,0,791,
9.1,62,0,791,
11.1,62,0,791,
0,62,0,791,
0,62,0,791,
0,62,0,791,
86.4,62,0,859,
88,62,0,1477,
65.5,62,0,1531,
9.1,62,0,1531,
27.3,62,0,332,
40,62,0,332,
0,62,0,332,
20,62,0,332,
92.5,62,0,1331,
75.9,62,0,738,
10,62,0,738,
31.6,62,0,738,
25,62,0,367,
10,62,0,367,
0,62,0,367,
81.8,62,0,367,
81.6,62,0,1332,
44.4,62,0,588,
0,62,0,588,
71.4,62,0,588,
0,62,0,588,
0,62,0,588,
10,62,0,588,
84.1,62,0,588,
82.8,62,0,1141,
18.2,62,0,1052,
9.1,62,0,1052,
0,62,0,1052,
57.9,62,0,1052,
9.1,62,0,1052,
0,62,0,1052,
11.1,62,0,1052,
25
87.5,62,0,1052,
89.5,62,0,1643,
75.9,62,0,800,
63.2,62,0,930,
10,62,0,342,
10,62,0,342,
9.1,62,0,342,
91.7,62,0,1219,
85.1,62,0,1971,
31.6,62,0,1134,
0,62,0,1134,
0,62,0,1134,
10,62,0,1134,
77.8,62,0,1351,
82.1,62,0,1851,
75.9,62,0,1242,
0,62,0,1242,
0,62,0,1242,
11.1,62,0,1242,
85.3,62,0,1242,
84.8,62,0,1808,
81.5,62,0,1106,
9.1,62,0,1106,
0,62,0,1106,
0,62,0,1106,
11.1,62,0,1106,
85.7,62,0,1199,
83.7,62,0,1615,
0,62,0,1615,
11.1,62,0,1615,
0,62,0,1615,
0,62,0,1615,
0,62,0,1615,
0,62,0,1615,
30
93,62,0,1752,
84.8,62,0,2447,
26.7,62,0,477,
11.1,62,0,477,
10,62,0,477,
85.3,62,0,1027,
77.4,62,0,1304,
88.7,62,0,1544,
72.2,62,0,897,
71.4,62,0,1033,
70.8,62,0,727,
7.7,62,0,727,
85.7,62,0,1228,
89.6,62,0,2196,
57.1,62,0,1427,
8.3,62,0,650,
9.1,62,0,650,
88.7,62,0,954,
86.4,62,0,1694,
89.3,62,0,944,
86.7,62,0,1268,
9.1,62,0,1268,
0,62,0,1268,
0,62,0,1268,
91.7,62,0,1268,
88.2,62,0,800,
16.7,62,0,366,
0,62,0,366,
0,62,0,366,
0,62,0,366,
0,62,0,366,
0,62,0,366,
0,62,0,366,
35
91.3,62,2,366,
93.2,62,3,2013,
86.8,62,0,2665,
61.1,62,0,842,
0,62,0,444,
28.6,62,0,455,
0,62,0,455,
84.9,62,1,1466,
86.5,62,0,2366,
75,62,0,1307,
64.7,62,0,1307,
78.6,62,0,823,
64.3,62,1,898,
88.9,62,3,1651,
89.6,62,0,2191,
83.3,62,0,1505,
84.2,62,0,964,
89.7,62,0,968,
82.8,62,0,1306,
89.7,62,0,1401,
82.1,62,0,859,
18.2,62,0,471,
21.4,62,0,396,
21.4,62,0,399,
28.6,62,0,405,
8.3,62,0,405,
16.7,62,0,334,
0,62,0,334,
10,62,0,334,
0,62,0,334,
11.1,62,0,334,
0,62,0,334,
0,62,5,334,
40
84.9,62,10,334,
84.2,62,0,2812,
