cpu,threads,queue,service_time
85.3,62,0,1387,
78.2,62,0,1463,
50,62,0,815,
87,62,1,1287,
89.2,62,0,1964,
82.8,62,0,2068,
84.2,62,0,1914,
91.8,62,0,1673,
93,62,0,1705,
86,62,0,1620,
84.9,62,0,1692,
82.8,62,0,1668,
90.9,62,0,1773,
84.1,62,0,1564,
88.4,62,0,1494,
50,62,0,787,
7.7,62,0,787,
46.7,62,0,587,
35.7,62,0,521,
0,62,0,521,
0,62,0,521,
9.1,62,0,521,
0,62,0,521,
10,62,0,521,
45
90.3,62,15,521,
89.1,62,8,2545,
89.3,62,0,1970,
84.1,62,0,1616,
77.6,62,9,1398,
86.6,62,0,2725,
84.6,62,0,2747,
89.7,62,0,2403,
89.3,62,0,2906,
87,62,0,2368,
93.1,62,0,2718,
84.1,62,2,2799,
88.8,62,0,3024,
87.7,62,1,1982,
83.8,62,0,3332,
87.7,62,0,2314,
75.9,62,0,1430,
44.4,62,0,641,
15.4,62,0,641,
9.1,62,0,641,
11.1,62,0,641,
0,62,0,641,
0,62,0,641,
50
97.6,62,20,641,
84.8,62,14,2428,
83.2,62,0,2181,
88.5,62,7,1841,
89.6,62,6,3041,
89.9,62,7,3242,
83.3,62,0,1494,
87.3,62,8,2400,
84.4,62,1,3058,
85.7,62,5,3600,
82.9,62,5,3775,
86.1,62,4,2144,
93.5,62,6,2797,
86.2,62,5,2754,
86.2,62,0,3943,
86.5,62,0,2736,
80,62,0,1869,
73.3,62,0,798,
8.3,62,0,798,
0,62,0,798,
0,62,0,798,
10,62,0,798,
10,62,0,798,
0,62,0,798,
100000
