clients,requests,success_percent,timeout_percent,error_percent,avg_rt,throughput
5,2.74997,100,0,0,661.72,2.74997
10,5.43419,100,0,0,706.94,5.43419
15,7.46491,97.3333,2.66667,0,938.849,7.26585
20,9.51656,94,6,0,950.043,8.94557
25,11.6387,97.6,2.4,0,986.533,11.3594
30,12.0608,98,2,0,1283.73,11.8196
35,12.5691,94.2857,5.71429,0,1421.21,11.8509
40,12.6215,97.5,2.5,0,1873.22,12.3059
45,13.8846,94.2222,5.77778,0,2074,13.0824
50,14.06,92,8,0,2413.41,12.9352
