cpu,threads,queue,service_time
11.1,12,0,0,
5
50,7,0,418,
0,7,0,418,
12.5,7,0,418,
14.3,7,0,418,
0,7,0,418,
0,7,0,418,
0,7,0,418,
0,12,0,418,
50,7,0,418,
0,7,0,418,
0,7,0,418,
0,7,0,418,
0,7,0,418,
0,7,0,418,
14.3,7,0,418,
0,12,0,418,
0,12,0,418,
44.4,7,0,638,
0,7,0,638,
0,7,0,638,
14.3,7,0,638,
0,7,0,638,
0,7,0,638,
14.3,7,0,638,
0,12,0,638,
0,12,0,638,
40,7,0,619,
0,7,0,619,
0,7,0,619,
0,7,0,619,
0,7,0,619,
0,7,0,619,
0,12,0,619,
40,12,0,619,
20,7,0,431,
0,7,0,431,
0,7,0,431,
0,7,0,431,
0,7,0,431,
0,13,0,431,
10
46.2,17,0,431,
60,11,0,577,
33.3,7,0,545,
14.3,7,0,545,
0,7,0,545,
0,7,0,545,
12.5,7,0,545,
0,17,0,545,
80,16,0,435,
78.6,7,0,760,
0,7,0,760,
0,7,0,760,
12.5,7,0,760,
0,7,0,760,
14.3,9,0,760,
0,17,0,760,
85.7,15,0,479,
56.2,7,0,750,
0,7,0,750,
0,7,0,750,
0,7,0,750,
0,7,0,750,
0,17,0,750,
75,15,0,488,
50,7,0,741,
0,7,0,741,
12.5,7,0,741,
14.3,7,0,741,
0,7,0,741,
0,17,0,741,
83.3,15,0,485,
45.5,7,0,731,
0,7,0,731,
0,7,0,731,
0,7,0,731,
0,7,0,731,
0,21,0,731,
15
93.2,21,0,731,
90.7,7,0,1025,
12.5,7,0,1025,
12.5,7,0,1025,
0,8,0,1025,
0,22,0,1025,
94.7,21,0,904,
86.4,14,0,909,
44.4,7,0,955,
0,7,0,955,
0,7,0,955,
12.5,7,0,955,
0,20,0,955,
89.5,21,0,786,
91.7,8,0,965,
10,7,0,595,
0,8,0,595,
0,7,0,267,
0,7,0,267,
18.2,21,0,267,
90,14,0,933,
46.7,8,0,765,
10,7,0,369,
0,7,0,369,
14.3,7,0,369,
0,21,0,369,
92.1,21,0,369,
78.9,12,0,965,
38.5,7,0,1020,
0,7,0,1020,
12.5,7,0,1020,
0,7,0,1020,
0,7,0,1020,
0,7,0,1020,
20
0,21,0,1020,
95.2,17,0,912,
63.2,7,0,1089,
0,7,0,1089,
12.5,7,0,1089,
0,7,0,1089,
0,27,0,1089,
88.7,27,0,1089,
86,19,0,1209,
66.7,7,0,1246,
12.5,7,0,1246,
0,7,0,1246,
0,15,0,1246,
71.4,27,0,1246,
88.4,19,0,960,
78.3,7,0,1031,
0,7,0,1031,
0,7,0,1031,
0,16,0,1031,
62.5,22,0,753,
90.7,18,0,1024,
75,7,0,933,
0,9,0,933,
25,10,0,340,
30,11,0,399,
30,20,0,465,
87.2,16,0,643,
71.4,8,0,803,
0,7,0,803,
0,7,0,803,
12.5,7,0,803,
14.3,7,0,803,
0,29,0,803,
25
93.5,29,0,803,
94.7,27,0,1197,
75,10,0,1641,
33.3,9,0,576,
12.5,8,0,576,
12.5,11,0,301,
30,12,0,301,
41.2,27,0,769,
91.7,23,0,1139,
75,12,0,1512,
36.4,11,0,531,
35.7,10,0,376,
25,14,0,398,
40,23,0,513,
85,24,0,1005,
89.7,15,0,854,
64.3,13,0,645,
33.3,9,0,397,
10,18,0,430,
83.3,23,0,732,
89.4,22,0,917,
91.7,14,0,1071,
35,11,0,804,
33.3,16,0,804,
65,10,0,473,
22.2,7,0,408,
14.3,7,0,408,
0,7,0,408,
0,7,0,408,
0,7,0,408,
0,34,0,408,
30
96.2,34,0,408,
81.6,27,0,1893,
93.1,9,0,699,
12.5,8,0,777,
12.5,10,0,777,
30,21,0,319,
83.7,33,0,927,
93,28,0,1243,
82.1,19,0,1721,
62.5,12,0,789,
36.4,14,0,392,
50,11,0,412,
28.6,28,0,478,
84.9,36,0,1002,
89.5,23,0,1403,
83.3,15,0,1319,
60.9,15,0,1102,
63.2,14,0,447,
57.1,24,0,730,
84,29,0,964,
89.7,26,0,1305,
87,14,0,1492,
52.6,13,0,1168,
45.5,11,0,494,
42.9,10,0,441,
27.3,7,0,362,
0,7,0,362,
12.5,7,0,362,
0,7,0,362,
0,7,0,362,
14.3,7,0,362,
0,7,0,362,
35
14.3,31,0,362,
90.7,32,0,362,
85.1,35,0,1650,
86.2,18,0,2050,
90,19,0,813,
78.9,18,0,1041,
83.3,31,0,908,
86.4,33,0,1405,
83.7,27,0,1717,
83.1,18,0,868,
85,21,0,921,
84.8,27,0,936,
85.7,33,0,1334,
89.6,31,0,1714,
93.9,24,0,1505,
83.3,18,0,1352,
88,26,0,1123,
88.1,32,0,1261,
86.8,32,0,1448,
92.2,22,0,1619,
86.2,13,0,1086,
40,7,0,684,
0,7,0,684,
0,7,0,684,
0,8,0,684,
0,8,0,684,
0,7,0,508,
0,7,0,508,
0,7,0,508,
0,7,0,508,
0,7,0,508,
12.5,7,0,508,
40
14.3,41,0,508,
76.7,42,0,508,
97.2,42,0,1801,
89.4,30,0,2489,
88.1,12,0,2768,
36.4,9,0,1134,
22.2,14,0,392,
55.6,43,0,797,
88.9,41,0,1594,
88.9,40,0,2174,
84.5,25,0,2706,
86.2,12,0,1449,
40,15,0,675,
72.2,22,0,609,
76.3,39,0,991,
91.7,46,0,1688,
84.1,26,0,2226,
83.3,15,0,1800,
66.7,18,0,1473,
78.3,36,0,781,
87.3,38,0,1384,
88.9,33,0,1924,
85.7,26,0,2086,
83.3,15,0,1611,
56.2,12,0,896,
36.4,11,0,475,
42.9,9,0,396,
25,7,0,316,
0,7,0,316,
0,7,0,316,
0,7,0,316,
14.3,7,0,316,
0,41,0,316,
45
95.2,41,0,316,
85.3,43,0,2095,
87.2,23,0,2618,
83.3,16,0,2882,
72,17,0,1569,
88.9,43,0,1569,
86.4,7,0,1833,
88.7,38,0,2527,
84.8,29,0,2520,
86.8,29,0,2569,
83.3,43,0,1327,
86.1,42,0,1796,
87,41,0,2121,
81.4,31,0,2651,
87.7,25,0,2277,
95.8,37,0,1713,
88.3,41,0,1964,
85.9,40,0,2318,
79.1,26,0,2034,
94.7,19,0,1347,
85,15,0,1198,
63.2,11,0,570,
33.3,7,0,541,
0,7,0,541,
0,7,0,541,
0,7,0,541,
0,7,0,541,
0,7,0,541,
50
12.5,36,0,541,
12.5,37,0,541,
91.9,37,0,541,
87.2,40,0,2502,
89.8,28,0,3019,
86.8,50,0,2144,
84.2,42,0,2655,
85.4,52,0,2509,
86.8,35,0,2741,
89.7,38,0,1758,
